Company Name,Sector,Stage,Funding Raised,Valuation,HQ Location,Employees,Strategic Fit Score,Priority Tier,Geography,Technology Focus,Recent Contracts/News,M&A Considerations,Contact Status
DRDO Technology Dev Fund,Government Co-investment,Fund,Government,N/A,New Delhi India,Government,96,Critical Priority,India,Defense commercialization,DRDO technology transfer,Co-investment government channel,Not Contacted
Vertex Holdings,Multi-stage VC,Fund,$3B,N/A,Singapore,Team only,87,High Priority,Singapore/SE Asia,Defense tech exposure SE Asia,Regional hub defense ecosystem,Co-investment partner,Not Contacted
GIC,Sovereign Wealth Fund,Fund,$800B,N/A,Singapore,Team only,86,High Priority,Singapore,Defense industrial aerospace,Direct aerospace defense exposure,Large check strategic investor,Not Contacted
Temasek,Sovereign Wealth Fund,Fund,$400B,N/A,Singapore,Team only,83,High Priority,Singapore,Aerospace defense,Strategic defense portfolio,Large check strategic investor,Not Contacted
Mubadala,Sovereign Wealth Fund,Fund,$300B,N/A,Abu Dhabi UAE,Team only,88,High Priority,UAE/MENA,Aerospace defense,Active UAE defense modernization,Regional defense investor,Not Contacted
SoftBank Vision Fund,Growth Equity,Fund,$100B,N/A,Tokyo Japan,Team only,78,Medium Priority,Japan/Asia,Autonomous systems AI,Large capacity autonomous focus,Growth stage only,Not Contacted
8VC,Defense Tech VC,Fund,$6B,N/A,San Francisco CA,Team only,73,High Priority,United States,Defense enterprise software,Lead Anduril investor,Co-investment partner,Not Contacted
Founders Fund,Deep Tech VC,Fund,$12B,N/A,San Francisco CA,Team only,79,High Priority,United States,Defense frontier tech,Premier defense tech investor,Co-investment partner,Not Contacted
Andreessen Horowitz,Multi-sector VC,Fund,$42B,N/A,Menlo Park CA,Team only,82,High Priority,United States,American Dynamism defense,National security practice,Co-investment partner,Not Contacted
General Catalyst,Multi-sector VC,Fund,$25B,N/A,Boston MA,Team only,79,High Priority,United States,Defense healthcare enterprise,Defense prime partnerships,Co-investment partner,Not Contacted
Lux Capital,Deep Tech VC,Fund,$5B,N/A,New York NY,Team only,73,Medium-High Priority,United States,Deep tech defense space,Deep tech defense applications,Co-investment partner,Not Contacted
NATO Innovation Fund,Strategic VC,Fund,€1B,N/A,Various EU,Team only,87,Critical Priority,European Union,Defense security dual-use,NATO-backed defense innovation,Alliance co-investment partner,Not Contacted
In-Q-Tel,Strategic VC (CIA),Strategic Fund,Classified,N/A,Arlington VA/London,Team only,75,High Priority,US/UK,National security technology,IC strategic investor London office,Government channel required,Not Contacted
Airbus Ventures,Corporate VC,Fund,€500M,N/A,Munich Germany,Team only,79,High Priority,European Union,Aerospace defense tech,Airbus defense ecosystem,Corporate partnership,Not Contacted
Seraphim Space,Space VC,Fund,£300M,N/A,London UK,Team only,73,High Priority,United Kingdom,Space defense applications,Space defense companies,Co-investment partner,Not Contacted
